symbol,name,market,as_of,source
004720,팜젠사이언스,유가,2026-06-12,KRX KIND
004770,써니전자,유가,2026-06-12,KRX KIND
004780,대륙제관,코스닥,2026-06-12,KRX KIND
004800,효성,유가,2026-06-12,KRX KIND
004830,덕성,유가,2026-06-12,KRX KIND
004840,DRB동일,유가,2026-06-12,KRX KIND
004870,티웨이홀딩스,유가,2026-06-12,KRX KIND
004890,동일산업,유가,2026-06-12,KRX KIND
004910,조광페인트,유가,2026-06-12,KRX KIND
004920,씨아이테크,유가,2026-06-12,KRX KIND
004960,한신공영,유가,2026-06-12,KRX KIND
004970,신라교역,유가,2026-06-12,KRX KIND
004980,성신양회,유가,2026-06-12,KRX KIND
004990,롯데지주,유가,2026-06-12,KRX KIND
005010,휴스틸,유가,2026-06-12,KRX KIND
005030,부산주공,유가,2026-06-12,KRX KIND
005070,코스모신소재,유가,2026-06-12,KRX KIND
005090,SGC에너지,유가,2026-06-12,KRX KIND
005110,한창,유가,2026-06-12,KRX KIND
005160,동국산업,코스닥,2026-06-12,KRX KIND
005180,빙그레,유가,2026-06-12,KRX KIND
005250,녹십자홀딩스,유가,2026-06-12,KRX KIND
005290,동진쎄미켐,코스닥,2026-06-12,KRX KIND
005300,롯데칠성음료,유가,2026-06-12,KRX KIND
005320,온타이드,유가,2026-06-12,KRX KIND
005360,모나미,유가,2026-06-12,KRX KIND
005420,코스모화학,유가,2026-06-12,KRX KIND
005430,한국공항,유가,2026-06-12,KRX KIND
005440,현대지에프홀딩스,유가,2026-06-12,KRX KIND
005490,POSCO홀딩스,유가,2026-06-12,KRX KIND
005500,삼진제약,유가,2026-06-12,KRX KIND
005610,삼립,유가,2026-06-12,KRX KIND
005670,푸드웰,코스닥,2026-06-12,KRX KIND
005680,삼영전자공업,유가,2026-06-12,KRX KIND
005690,파미셀,유가,2026-06-12,KRX KIND
005710,대원산업,코스닥,2026-06-12,KRX KIND
005720,넥센,유가,2026-06-12,KRX KIND
005740,크라운해태홀딩스,유가,2026-06-12,KRX KIND
005750,대림바스,유가,2026-06-12,KRX KIND
005800,신영와코루,유가,2026-06-12,KRX KIND
005810,풍산홀딩스,유가,2026-06-12,KRX KIND
005820,원림,유가,2026-06-12,KRX KIND
005830,DB손해보험,유가,2026-06-12,KRX KIND
005850,에스엘,유가,2026-06-12,KRX KIND
005860,한일사료,코스닥,2026-06-12,KRX KIND
005870,휴니드테크놀러지스,유가,2026-06-12,KRX KIND
005880,대한해운,유가,2026-06-12,KRX KIND
005940,NH투자증권,유가,2026-06-12,KRX KIND
005950,이수화학,유가,2026-06-12,KRX KIND
005960,동부건설,유가,2026-06-12,KRX KIND
005990,매일홀딩스,코스닥,2026-06-12,KRX KIND
006040,동원산업,유가,2026-06-12,KRX KIND
006050,국영지앤엠,코스닥,2026-06-12,KRX KIND
006060,화승인더스트리,유가,2026-06-12,KRX KIND
006090,사조오양,유가,2026-06-12,KRX KIND
006110,삼아알미늄,유가,2026-06-12,KRX KIND
006120,SK디스커버리,유가,2026-06-12,KRX KIND
006140,피제이전자,코스닥,2026-06-12,KRX KIND
006200,한국전자홀딩스,유가,2026-06-12,KRX KIND
006220,제주은행,유가,2026-06-12,KRX KIND
006260,LS,유가,2026-06-12,KRX KIND
006280,녹십자,유가,2026-06-12,KRX KIND
006340,대원전선,유가,2026-06-12,KRX KIND
006360,GS건설,유가,2026-06-12,KRX KIND
006370,대구백화점,유가,2026-06-12,KRX KIND
006380,카프로,유가,2026-06-12,KRX KIND
006400,삼성SDI,유가,2026-06-12,KRX KIND
006490,인스코비,유가,2026-06-12,KRX KIND
006570,대림통상,유가,2026-06-12,KRX KIND
006620,동구바이오제약,코스닥,2026-06-12,KRX KIND
006650,대한유화,유가,2026-06-12,KRX KIND
006660,삼성공조,유가,2026-06-12,KRX KIND
006730,서부T&D,코스닥,2026-06-12,KRX KIND
006740,블루산업개발,유가,2026-06-12,KRX KIND
006800,미래에셋증권,유가,2026-06-12,KRX KIND
006840,AK홀딩스,유가,2026-06-12,KRX KIND
006880,신송홀딩스,유가,2026-06-12,KRX KIND
006890,태경케미컬,유가,2026-06-12,KRX KIND
006910,보성파워텍,코스닥,2026-06-12,KRX KIND
006920,모헨즈,코스닥,2026-06-12,KRX KIND
006980,우성,유가,2026-06-12,KRX KIND
007070,GS리테일,유가,2026-06-12,KRX KIND
007110,일신석재,유가,2026-06-12,KRX KIND
007120,미래아이앤지,유가,2026-06-12,KRX KIND
007160,사조산업,유가,2026-06-12,KRX KIND
007210,벽산,유가,2026-06-12,KRX KIND
007280,한국특강,유가,2026-06-12,KRX KIND
007310,오뚜기,유가,2026-06-12,KRX KIND
007330,푸른저축은행,코스닥,2026-06-12,KRX KIND
007340,DN오토모티브,유가,2026-06-12,KRX KIND
007370,진양제약,코스닥,2026-06-12,KRX KIND
007390,네이처셀,코스닥,2026-06-12,KRX KIND
007460,에이프로젠,유가,2026-06-12,KRX KIND
007530,와이엠,코스닥,2026-06-12,KRX KIND
007540,샘표,유가,2026-06-12,KRX KIND
007570,일양약품,유가,2026-06-12,KRX KIND
007590,동방아그로,유가,2026-06-12,KRX KIND
007610,선도전기,유가,2026-06-12,KRX KIND
007660,이수페타시스,유가,2026-06-12,KRX KIND
007680,대원,코스닥,2026-06-12,KRX KIND
007690,국도화학,유가,2026-06-12,KRX KIND
007700,F&F 홀딩스,유가,2026-06-12,KRX KIND
007720,소노스퀘어,코스닥,2026-06-12,KRX KIND
007770,한일화학,코스닥,2026-06-12,KRX KIND
007810,코리아써키트,유가,2026-06-12,KRX KIND
007820,엠엑스로보틱스,코스닥,2026-06-12,KRX KIND
007860,서연,유가,2026-06-12,KRX KIND
007980,TP,유가,2026-06-12,KRX KIND
008040,사조동아원,유가,2026-06-12,KRX KIND
008060,대덕,유가,2026-06-12,KRX KIND
008250,이건산업,유가,2026-06-12,KRX KIND
008260,NI스틸,유가,2026-06-12,KRX KIND
008290,원풍물산,코스닥,2026-06-12,KRX KIND
008350,남선알미늄,유가,2026-06-12,KRX KIND
008370,원풍,코스닥,2026-06-12,KRX KIND
008420,문배철강,유가,2026-06-12,KRX KIND
008470,부스타,코스닥,2026-06-12,KRX KIND
008490,서흥,유가,2026-06-12,KRX KIND
008500,일정실업,유가,2026-06-12,KRX KIND
008600,윌비스,유가,2026-06-12,KRX KIND
008700,아남전자,유가,2026-06-12,KRX KIND
008730,율촌화학,유가,2026-06-12,KRX KIND
008770,호텔신라,유가,2026-06-12,KRX KIND
008830,대동기어,코스닥,2026-06-12,KRX KIND
008870,금비,유가,2026-06-12,KRX KIND
008930,한미사이언스,유가,2026-06-12,KRX KIND
008970,KBI동양철관,유가,2026-06-12,KRX KIND
009070,케이씨티시,유가,2026-06-12,KRX KIND
009140,경인전자,유가,2026-06-12,KRX KIND
009150,삼성전기,유가,2026-06-12,KRX KIND
009160,SIMPAC,유가,2026-06-12,KRX KIND
009180,한솔로지스틱스,유가,2026-06-12,KRX KIND
009190,대양금속,유가,2026-06-12,KRX KIND
009200,무림페이퍼,유가,2026-06-12,KRX KIND
009240,한샘,유가,2026-06-12,KRX KIND
009270,신원,유가,2026-06-12,KRX KIND
009290,광동제약,유가,2026-06-12,KRX KIND
009300,삼아제약,코스닥,2026-06-12,KRX KIND
009310,참엔지니어링,유가,2026-06-12,KRX KIND
009320,아진전자부품,유가,2026-06-12,KRX KIND
009410,태영건설,유가,2026-06-12,KRX KIND
009420,한올바이오파마,유가,2026-06-12,KRX KIND
009440,KC그린홀딩스,유가,2026-06-12,KRX KIND
009450,경동나비엔,유가,2026-06-12,KRX KIND
009460,한창제지,유가,2026-06-12,KRX KIND
009470,삼화전기,유가,2026-06-12,KRX KIND
009520,포스코엠텍,코스닥,2026-06-12,KRX KIND
009540,HD한국조선해양,유가,2026-06-12,KRX KIND
009580,무림P&P,유가,2026-06-12,KRX KIND
009620,삼보산업,코스닥,2026-06-12,KRX KIND
009680,모토닉,유가,2026-06-12,KRX KIND
009730,이렘,코스닥,2026-06-12,KRX KIND
009770,삼정펄프,유가,2026-06-12,KRX KIND
009780,엠에스씨,코스닥,2026-06-12,KRX KIND
009810,플레이그램,유가,2026-06-12,KRX KIND
009830,한화솔루션,유가,2026-06-12,KRX KIND
009900,명신산업,유가,2026-06-12,KRX KIND
009970,영원무역홀딩스,유가,2026-06-12,KRX KIND
010040,한국내화,유가,2026-06-12,KRX KIND
010060,OCI홀딩스,유가,2026-06-12,KRX KIND
010100,한국무브넥스,유가,2026-06-12,KRX KIND
010120,엘에스일렉트릭,유가,2026-06-12,KRX KIND
010130,고려아연,유가,2026-06-12,KRX KIND
010140,삼성중공업,유가,2026-06-12,KRX KIND
010170,대한광통신,코스닥,2026-06-12,KRX KIND
010240,흥국,코스닥,2026-06-12,KRX KIND
010280,아이티센엔텍,코스닥,2026-06-12,KRX KIND
010400,우진아이엔에스,유가,2026-06-12,KRX KIND
010470,오리콤,코스닥,2026-06-12,KRX KIND
010580,에스엠벡셀,유가,2026-06-12,KRX KIND
010640,진양폴리우레탄,유가,2026-06-12,KRX KIND
010660,화천기계,유가,2026-06-12,KRX KIND
010690,화신,유가,2026-06-12,KRX KIND
010770,평화홀딩스,유가,2026-06-12,KRX KIND
010780,아이에스동서,유가,2026-06-12,KRX KIND
010820,퍼스텍,유가,2026-06-12,KRX KIND
010950,S-Oil,유가,2026-06-12,KRX KIND
010960,삼호개발,유가,2026-06-12,KRX KIND
011000,진원생명과학,유가,2026-06-12,KRX KIND
011040,경동제약,코스닥,2026-06-12,KRX KIND
011070,LG이노텍,유가,2026-06-12,KRX KIND
011080,형지I&C,코스닥,2026-06-12,KRX KIND
011090,에넥스,유가,2026-06-12,KRX KIND
011150,CJ씨푸드,유가,2026-06-12,KRX KIND
011170,롯데케미칼,유가,2026-06-12,KRX KIND
